term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(age_1_5_yers_9)2,1.740075545446331e-5,1.2123413180245073e-5,1.4353016923334423,0.151863456844089,age_1_5_yers_9,FASYN_ELONG_PWY,0.151863456844089
factor(age_5_10_years_9)2,2.1934819018970035e-5,1.1733319016041163e-5,1.8694470838968864,0.0621795922446854,age_5_10_years_9,FASYN_ELONG_PWY,0.0621795922446854
factor(age_10_18_years_9)2,1.44116652967192e-5,1.218651278932563e-5,1.1825914062423681,0.23756648566523184,age_10_18_years_9,FASYN_ELONG_PWY,0.23756648566523184
factor(age_1_5_years_10)2,9.851759737041071e-6,1.5680054593913885e-5,0.62829881605546,0.5301121001742637,age_1_5_years_10,FASYN_ELONG_PWY,0.5301121001742637
factor(age_5_10_years_10)2,1.0289823141805493e-5,1.2345047264245656e-5,0.8335183269494151,0.40497406133629477,age_5_10_years_10,FASYN_ELONG_PWY,0.40497406133629477
factor(age_10_18_years_10)2,1.0806773741000994e-5,1.2663293906052894e-5,0.8533935815732345,0.39387394558641264,age_10_18_years_10,FASYN_ELONG_PWY,0.39387394558641264
factor(age_1_5_years_11)2,1.3278662644639545e-5,1.3600598637218864e-5,0.9763292777644125,0.3294024921319605,age_1_5_years_11,FASYN_ELONG_PWY,0.3294024921319605
factor(age_5_10_years_11)2,1.5586129178608216e-5,1.1974083173041494e-5,1.3016553295453048,0.19366916577705814,age_5_10_years_11,FASYN_ELONG_PWY,0.19366916577705814
factor(age_10_18_years_11)2,7.871382203800697e-6,1.279511322459756e-5,0.6151866001989422,0.5387279773547973,age_10_18_years_11,FASYN_ELONG_PWY,0.5387279773547973
factor(age_1_5_years_12)2,1.6714149943335864e-5,1.1036489659765003e-5,1.514444398409535,0.13058249872201758,age_1_5_years_12,FASYN_ELONG_PWY,0.13058249872201758
factor(age_5_10_years_12)2,1.9155311914892012e-5,1.2057325768486246e-5,1.5886866028748672,0.11280075462483401,age_5_10_years_12,FASYN_ELONG_PWY,0.11280075462483401
factor(age_10_18_years_12)2,7.000133539380761e-6,1.313676903650611e-5,0.5328656932254733,0.594377337546165,age_10_18_years_12,FASYN_ELONG_PWY,0.594377337546165
factor(breast_fed)2,-9.474934436958217e-6,9.428911562373751e-6,-1.0048810378886277,0.31547010082273075,breast_fed,GLYCOLYSIS_E_D,0.31547010082273075
factor(baby_food)2,1.0149144085467735e-5,1.1049569449440376e-5,0.9185103665719532,0.35882385803105354,baby_food,GLYCOLYSIS_E_D,0.35882385803105354
factor(family_food)2,-1.2305421822490339e-5,1.7997453406921102e-5,-0.6837312782128478,0.49448181146188663,family_food,GLYCOLYSIS_E_D,0.49448181146188663
factor(age_4_12_months_3)2,5.385544448387741e-6,8.87179947202344e-6,0.6070408224814656,0.5441157139582657,age_4_12_months_3,GLYCOLYSIS_E_D,0.5441157139582657
factor(age_1_5_years_3)2,6.932067460955521e-6,8.738740936786174e-6,0.7932570047676584,0.4280266741096338,age_1_5_years_3,GLYCOLYSIS_E_D,0.4280266741096338
factor(age5_10_years_3)2,7.385017508969106e-6,8.588130632674642e-6,0.8599097783715425,0.39027532165979495,age5_10_years_3,GLYCOLYSIS_E_D,0.39027532165979495
factor(age_10_18_years_3)2,-3.7286470858476083e-6,8.47873737040829e-6,-0.4397644275267906,0.660309019189079,age_10_18_years_3,GLYCOLYSIS_E_D,0.660309019189079
factor(age_1_5_years_5)2,7.325172247106787e-7,9.241012773747883e-6,0.07926806754251366,0.9368530712102897,age_1_5_years_5,GLYCOLYSIS_E_D,0.9368530712102897
factor(age_5_10_years_5)2,1.3748662421072982e-6,8.121284125790807e-6,0.1692917303239186,0.8656397081439675,age_5_10_years_5,GLYCOLYSIS_E_D,0.8656397081439675
factor(age_10_18_years_5)2,1.5405258258684124e-5,7.906032840899422e-6,1.9485446833701188,0.051943269461248436,age_10_18_years_5,GLYCOLYSIS_E_D,0.051943269461248436
factor(age_1_5_years_6)2,4.4574095871694346e-6,8.523423117170611e-6,0.5229600274319236,0.6012474668411965,age_1_5_years_6,GLYCOLYSIS_E_D,0.6012474668411965
factor(age_5_10_years_6)2,6.6665475044368615e-6,8.870285234087553e-6,0.7515595416050473,0.4526905521252427,age_5_10_years_6,GLYCOLYSIS_E_D,0.4526905521252427
factor(age_10_18_years_6)2,-5.497752496654816e-6,9.338360336368778e-6,-0.588727817156884,0.5563255003554362,age_10_18_years_6,GLYCOLYSIS_E_D,0.5563255003554362
