term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(age_10_18_years_12)2,0.011094353939252016,0.10966509265189091,0.10116577363836952,0.9194618250864975,age_10_18_years_12,Ruthenibacterium_lactatiformans,0.9194618250864975
factor(breast_fed)2,0.11263403362925571,0.13395418595624173,0.8408399694657501,0.4008642515003157,breast_fed,GGB3277_SGB4327,0.4008642515003157
factor(baby_food)2,-0.16241443587769713,0.15649941372349027,-1.037795810306726,0.29989987779220584,baby_food,GGB3277_SGB4327,0.29989987779220584
factor(family_food)2,0.1910739713609025,0.25511008305922334,0.7489863554963645,0.45424010338352494,family_food,GGB3277_SGB4327,0.45424010338352494
factor(age_4_12_months_3)2,0.09171997737098964,0.12545647966631868,0.731089997224063,0.46508695225519814,age_4_12_months_3,GGB3277_SGB4327,0.46508695225519814
factor(age_1_5_years_3)2,0.030944945475867108,0.12367076230081422,0.2502203827336105,0.8025257959057754,age_1_5_years_3,GGB3277_SGB4327,0.8025257959057754
factor(age5_10_years_3)2,-0.00142873170947754,0.12156153438321124,-0.011753156265481138,0.990627519976322,age5_10_years_3,GGB3277_SGB4327,0.990627519976322
factor(age_10_18_years_3)2,0.14536046713639492,0.11975704309317269,1.2137947245683278,0.2254331225437218,age_10_18_years_3,GGB3277_SGB4327,0.2254331225437218
factor(age_1_5_years_5)2,0.1615412505639466,0.13096938406796363,1.2334275809079043,0.21803145927607298,age_1_5_years_5,GGB3277_SGB4327,0.21803145927607298
factor(age_5_10_years_5)2,0.12117221450812855,0.11473158917752001,1.0561364605578958,0.2914461391752733,age_5_10_years_5,GGB3277_SGB4327,0.2914461391752733
factor(age_10_18_years_5)2,0.19780284537046672,0.11235579063950839,1.7605042360933023,0.07897132091372006,age_10_18_years_5,GGB3277_SGB4327,0.07897132091372006
factor(age_1_5_years_6)2,0.07467008718333655,0.12053718056247542,0.619477632004462,0.5359006564081721,age_1_5_years_6,GGB3277_SGB4327,0.5359006564081721
factor(age_5_10_years_6)2,0.04955490365999047,0.12551142458367673,0.3948238483019759,0.6931512443376708,age_5_10_years_6,GGB3277_SGB4327,0.6931512443376708
factor(age_10_18_years_6)2,0.020169518807972513,0.13212255951836083,0.15265764515536495,0.8787334989065996,age_10_18_years_6,GGB3277_SGB4327,0.8787334989065996
factor(age_1_5_years_7)2,-0.09461024056985455,0.1257474660413272,-0.7523828793397768,0.4521958846914279,age_1_5_years_7,GGB3277_SGB4327,0.4521958846914279
factor(age_5_10_years_7)2,-0.021662797718872147,0.14015911664170222,-0.15455860623215936,0.8772353713993644,age_5_10_years_7,GGB3277_SGB4327,0.8772353713993644
factor(age_10_18_years_7)2,0.12728632174580953,0.15809562731413274,0.8051223421435575,0.42115446315330485,age_10_18_years_7,GGB3277_SGB4327,0.42115446315330485
factor(age_1_5_years_8)2,-0.22239008053052842,0.12785364412779215,-1.739411356224194,0.08261571881007729,age_1_5_years_8,GGB3277_SGB4327,0.08261571881007729
factor(age_5_10_years_8)2,-0.20130250867296065,0.11616564586286521,-1.7328919163467693,0.08376941515996973,age_5_10_years_8,GGB3277_SGB4327,0.08376941515996973
factor(age_10_18_years_8)2,-0.10065644931597444,0.1158658744420582,-0.8687324874617017,0.38543779854789684,age_10_18_years_8,GGB3277_SGB4327,0.38543779854789684
factor(age_1_5_yers_9)2,0.0057673037114326555,0.12129527771501512,0.04754763598450232,0.9620968765710269,age_1_5_yers_9,GGB3277_SGB4327,0.9620968765710269
factor(age_5_10_years_9)2,-0.05150488364988234,0.11754625570136108,-0.43816694408995926,0.661465727818942,age_5_10_years_9,GGB3277_SGB4327,0.661465727818942
factor(age_10_18_years_9)2,-0.008682190633994433,0.12184112222274733,-0.0712582950288478,0.9432223690308594,age_10_18_years_9,GGB3277_SGB4327,0.9432223690308594
factor(age_1_5_years_10)2,0.01041488299066775,0.15660347690981458,0.06650480050749775,0.9470040958509907,age_1_5_years_10,GGB3277_SGB4327,0.9470040958509907
factor(age_5_10_years_10)2,0.021546211001978812,0.12333105189651222,0.17470223979001134,0.861388519156095,age_5_10_years_10,GGB3277_SGB4327,0.861388519156095
factor(age_10_18_years_10)2,0.1567971272259407,0.126313000067336,1.2413380027578629,0.215097457842355,age_10_18_years_10,GGB3277_SGB4327,0.215097457842355
factor(age_1_5_years_11)2,0.049476389070282484,0.13589954160359982,0.364065901080066,0.7159721735292677,age_1_5_years_11,GGB3277_SGB4327,0.7159721735292677
factor(age_5_10_years_11)2,-0.18399321460295434,0.11945544904666504,-1.5402664011674994,0.12416554478412745,age_5_10_years_11,GGB3277_SGB4327,0.12416554478412745
factor(age_10_18_years_11)2,0.023415852303024207,0.1277841695798838,0.18324532984021838,0.8546842157636647,age_10_18_years_11,GGB3277_SGB4327,0.8546842157636647
factor(age_1_5_years_12)2,0.019082206362288034,0.11044451746281132,0.17277640213072015,0.8629012487380601,age_1_5_years_12,GGB3277_SGB4327,0.8629012487380601
factor(age_5_10_years_12)2,0.04132850566204406,0.12067836844133505,0.34246821692932433,0.732151008791646,age_5_10_years_12,GGB3277_SGB4327,0.732151008791646
factor(age_10_18_years_12)2,0.047100743218786614,0.13116989567420714,0.35908195990162983,0.7196943509717806,age_10_18_years_12,GGB3277_SGB4327,0.7196943509717806
factor(breast_fed)2,-0.00311046705333769,0.02384440261960288,-0.1304485208943974,0.8962672751579599,breast_fed,Butyricicoccus_sp_AM29_23AC,0.8962672751579599
factor(baby_food)2,0.02754219683110962,0.027839263136492605,0.9893292324611286,0.32301221064425356,baby_food,Butyricicoccus_sp_AM29_23AC,0.32301221064425356
factor(family_food)2,-0.001450099786003987,0.04540563174251128,-0.03193656227992359,0.9745361983972569,family_food,Butyricicoccus_sp_AM29_23AC,0.9745361983972569
factor(age_4_12_months_3)2,-0.029468916472914178,0.02228732629147899,-1.3222275335997073,0.18673276660131888,age_4_12_months_3,Butyricicoccus_sp_AM29_23AC,0.18673276660131888
factor(age_1_5_years_3)2,-0.0076690426602488895,0.021996919692692192,-0.34864166289595067,0.7275138041385472,age_1_5_years_3,Butyricicoccus_sp_AM29_23AC,0.7275138041385472
factor(age5_10_years_3)2,3.705041295043792e-4,0.021623104345688413,0.017134640964642834,0.9863364438526747,age5_10_years_3,Butyricicoccus_sp_AM29_23AC,0.9863364438526747
factor(age_10_18_years_3)2,0.004866154245196651,0.02133417333924194,0.22809199905795638,0.8196734973737332,age_10_18_years_3,Butyricicoccus_sp_AM29_23AC,0.8196734973737332
factor(age_1_5_years_5)2,-0.02406841994411592,0.02330695995239865,-1.0326709271939563,0.30228787254649886,age_1_5_years_5,Butyricicoccus_sp_AM29_23AC,0.30228787254649886
